user_id,gender,age,race,facebook,pinterest,instagram,linkedin,twitter
0,Male,30-49,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
1,Female,50-64,White Non-Hispanic,No,No,Yes,No,Yes
2,Female,50-64,White Non-Hispanic,No,Yes,Yes,Yes,Yes
3,Male,65+,Hispanic,Yes,Yes,Yes,Yes,Yes
4,Male,65+,White Non-Hispanic,No,Yes,Yes,Yes,No
5,Male,18-29,White Non-Hispanic,No,No,Yes,No,Yes
6,Female,30-49,Hispanic,Yes,No,Yes,No,Yes
7,Male,50-64,Black Non-Hispanic,No,No,Yes,Yes,Yes
8,Female,50-64,White Non-Hispanic,Yes,No,Yes,Yes,Yes
9,Female,65+,White Non-Hispanic,Yes,Yes,Yes,Yes,No
10,Female,50-64,Black Non-Hispanic,No,Yes,No,No,No
11,Male,30-49,Hispanic,Yes,No,Yes,Yes,Yes
12,Female,30-49,White Non-Hispanic,Yes,Yes,No,Yes,Yes
13,Male,18-29,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
14,Female,65+,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
15,Female,30-49,Black Non-Hispanic,Yes,No,Yes,Yes,No
16,Female,30-49,Black Non-Hispanic,No,Yes,Yes,Yes,Yes
17,Female,50-64,White Non-Hispanic,Yes,Yes,Yes,No,Yes
18,Male,50-64,Hispanic,Yes,No,No,No,Yes
19,Male,18-29,Hispanic,Yes,No,No,No,Yes
20,Female,50-64,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
21,Male,65+,Black Non-Hispanic,Yes,No,No,No,No
22,Male,30-49,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
23,Female,65+,White Non-Hispanic,Yes,Yes,No,No,Yes
24,Female,65+,Hispanic,Yes,Yes,Yes,Yes,Yes
25,Female,18-29,White Non-Hispanic,No,Yes,Yes,Yes,Yes
26,Male,30-49,Hispanic,Yes,Yes,Yes,Yes,Yes
27,Female,65+,White Non-Hispanic,No,Yes,Yes,Yes,Yes
28,Male,30-49,Hispanic,No,No,Yes,Yes,No
29,Male,18-29,Black Non-Hispanic,Yes,Yes,Yes,Yes,No
30,Female,18-29,Hispanic,Yes,No,Yes,Yes,Yes
31,Female,50-64,Hispanic,Yes,Yes,Yes,Yes,Yes
32,Female,50-64,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
33,Male,65+,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
34,Male,30-49,White Non-Hispanic,Yes,No,No,Yes,Yes
35,Male,30-49,Hispanic,Yes,No,Yes,No,No
36,Female,65+,Hispanic,Yes,No,No,Yes,No
37,Male,18-29,Hispanic,Yes,Yes,Yes,Yes,Yes
38,Female,65+,Hispanic,Yes,No,Yes,No,No
39,Male,50-64,White Non-Hispanic,Yes,No,Yes,No,Yes
40,Male,50-64,Hispanic,Yes,No,Yes,Yes,Yes
41,Female,18-29,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
42,Female,50-64,White Non-Hispanic,Yes,Yes,Yes,Yes,Yes
43,Female,18-29,Hispanic,Yes,Yes,Yes,Yes,No
44,Male,50-64,White Non-Hispanic,Yes,No,Yes,No,Yes
45,Female,50-64,Black Non-Hispanic,Yes,Yes,Yes,Yes,Yes
46,Female,18-29,Black Non-Hispanic,Yes,No,Yes,Yes,Yes
